Start,End,Open,High,Low,Close,Volume,Market Cap
2022-12-16,2022-12-17,17358.5225206672,17513.9378,16529.297357680505,16608.4932,47661468458.666664,328532141010.85126
2022-12-15,2022-12-16,17794.87527368345,17843.08619595741,17306.065623820537,17339.458270551433,56261667200,337849259128.5813
2022-12-14,2022-12-15,17779.867619706492,18329.450172030054,17710.387652122143,17799.16897417585,53775197070.22222,343458912279.5559
2022-12-13,2022-12-14,17202.490499300773,17932.4687,17097.2124,17766.350552594908,41107035768.888885,335677125245.7431
2022-12-12,2022-12-13,17089.446091063823,17220.814535119767,16882.272894519563,17220.814535119767,27210991608.88889,326657443273.10474
2022-12-11,2022-12-12,17129.863554165495,17253.191402270015,17080.092146895866,17091.916535641005,19589911018.666668,329675056005.3344
2022-12-10,2022-12-11,17128.161092465376,17216.17460724164,17105.50511844839,17114.3405863705,25743383676.444443,329719372087.4576
2022-12-09,2022-12-10,17226.675972109428,17272.187489496646,17081.5468,17123.38672774531,34491913201.77778,330278993230.93866
2022-12-08,2022-12-09,16835.04923550135,17290.3,16791.27889230745,17254.841595411017,31326142820.794426,325363729467.9203
2022-12-07,2022-12-08,17089.81610929171,17096.3844,16746.3916,16838.047473161492,33628606812.444443,324422344915.8258
2022-12-06,2022-12-07,16967.683779550847,17101.713469188366,16925.225101248896,17088.37611635709,33312994595.555557,326626901868.3153
2022-12-05,2022-12-06,17112.095826545075,17391.96733663847,16884.1888,16959.336063823,33310234567.11111,329965811699.66473
2022-12-04,2022-12-05,16880.830412966345,17144.100549809053,16880.830412966345,17130.165329487445,25946687018.666668,326979103201.65906
2022-12-03,2022-12-04,17092.1973,17122.7858,16876.10583144502,16903.723625317816,28422679969.44948,326144864089.25836
2022-12-02,2022-12-03,16972.464618272137,17088.909103174137,16862.767959664725,17088.4265,33498051230.773518,325967434091.6198
2022-12-01,2022-12-02,17165.41156726685,17214.3263,16883.1711,16956.1893,38788974492.44444,327771074759.13477
2022-11-30,2022-12-01,16438.7456,17212.898261213835,16438.7456,17188.63467960707,44743059370.666664,324786816323.82556
2022-11-29,2022-11-30,16213.3896,16522.977471229282,16111.249696496165,16436.1924,52776387683.55556,315419507134.79785
2022-11-28,2022-11-29,16425.2129114358,16481.7679,16044.1124,16212.403248220657,44930760967.111115,311557026058.74457
2022-11-27,2022-11-28,16457.253279063327,16593.459556800455,16419.021398214274,16432.36461511383,35423221802.81533,317875547190.54175
2022-11-26,2022-11-27,16513.9287,16683.874870359,16415.619927652573,16461.1945184485,39602744661.333336,318241327421.49585
2022-11-25,2022-11-26,16609.3759,16609.3759,16371.869099382935,16511.91127766036,40539647985.77778,316859810140.8318
