BTC000000000;23/10/24;1.133;-1.891;-1.923;-2.181;-7.653;-1.359
BTC000000000;22/10/24;-0.028;0.559;2.188;0.972;19.074;1.092
BTC000000000;21/10/24;2.391;2.408;0.252;0.068;-17.265;1.230
BTC000000000;20/10/24;-0.875;-0.141;1.866;2.295;-53.068;0.425
BTC000000000;19/10/24;0.114;-0.975;-0.106;-0.861;86.224;-0.251
BTC000000000;18/10/24;-1.565;0.472;-1.246;0.104;36.190;-0.232
BTC000000000;17/10/24;0.447;-1.508;-0.581;-1.609;-5.249;-1.273
BTC000000000;16/10/24;-0.969;0.516;-0.015;0.436;65.370;0.348
BTC000000000;15/10/24;-1.422;-0.753;-2.700;-0.995;37.294;-2.085
BTC000000000;14/10/24;-4.939;-1.978;-3.856;-1.341;-14.455;-1.948
BTC000000000;13/10/24;0.720;-4.727;-0.685;-4.963;-20.623;-3.196
BTC000000000;12/10/24;-1.113;0.254;0.715;0.652;19.869;0.308
BTC000000000;11/10/24;-3.652;-0.268;-3.819;-1.274;2.621;-2.239
BTC000000000;10/10/24;0.520;-3.115;-1.824;-3.446;-4.216;-1.539
BTC000000000;09/10/24;2.518;2.007;2.411;0.644;-0.351;2.128
BTC000000000;08/10/24;0.305;0.959;2.436;2.585;15.198;0.908
BTC000000000;07/10/24;0.845;2.069;0.488;0.136;-10.392;1.539
BTC000000000;06/10/24;-1.346;-2.361;-0.601;0.839;-23.376;-1.764
BTC000000000;05/10/24;0.319;-0.928;-0.188;-1.177;22.642;-0.350
BTC000000000;04/10/24;-2.266;0.183;-2.000;0.042;18.688;-0.797
BTC000000000;03/10/24;-0.398;-1.571;-0.679;-2.148;7.355;-1.251
BTC000000000;02/10/24;0.445;1.242;-0.120;-0.174;4.792;0.808
BTC000000000;01/10/24;4.157;3.051;0.650;0.359;-9.338;2.585
BTC000000000;30/09/24;3.467;2.227;4.348;3.945;-11.897;1.851
BTC000000000;29/09/24;0.489;0.760;3.834;3.758;-19.054;2.629
BTC000000000;28/09/24;-0.066;0.209;-0.002;0.389;19.584;0.050
BTC000000000;27/09/24;-1.077;0.288;-0.897;-0.245;22.593;-0.222
BTC000000000;26/09/24;-3.022;-1.152;-3.173;-0.943;-9.247;-2.036
BTC000000000;25/09/24;1.690;-1.442;0.263;-3.034;0.043;-0.810
BTC000000000;24/09/24;-1.341;-0.128;-0.326;1.852;-0.669;-0.381
BTC000000000;23/09/24;0.191;0.090;0.143;-1.559;4.646;0.008
BTC000000000;22/09/24;-0.170;-1.202;-0.582;0.384;-21.343;-0.894
BTC000000000;21/09/24;-0.390;-0.546;0.557;-0.293;10.855;0.218
BTC000000000;20/09/24;-0.280;0.842;-0.675;-0.454;23.267;0.181
BTC000000000;19/09/24;-1.754;-0.365;-1.295;-0.235;9.576;-0.883
BTC000000000;18/09/24;-2.455;-3.715;-3.858;-2.390;-13.375;-4.005
BTC000000000;17/09/24;-3.392;-0.308;-2.695;-1.864;-7.611;-1.308
BTC000000000;16/09/24;1.586;-3.376;-0.122;-3.440;-6.851;-1.738
BTC000000000;15/09/24;1.365;2.000;2.270;1.664;-17.817;2.840
BTC000000000;14/09/24;0.933;0.355;1.147;1.334;29.105;0.048
BTC000000000;13/09/24;-3.973;0.006;-3.094;0.979;0.934;-2.209
BTC000000000;12/09/24;-1.345;-3.432;-0.549;-4.060;10.482;-1.137
BTC000000000;11/09/24;0.397;-0.947;-3.108;-1.294;-3.419;-1.922
BTC000000000;10/09/24;-1.104;0.042;1.616;0.460;-4.174;0.354
BTC000000000;09/09/24;-3.839;-0.198;-3.297;-1.034;-7.695;-2.501
BTC000000000;08/09/24;-1.206;-4.565;-1.704;-3.872;-18.544;-2.366
BTC000000000;07/09/24;-0.259;-0.758;0.136;-1.159;55.753;-0.255
BTC000000000;06/09/24;4.137;3.806;-1.914;-0.490;-0.542;1.947
BTC000000000;05/09/24;3.198;2.441;5.872;4.168;-4.117;2.741
BTC000000000;04/09/24;-0.625;0.352;-0.174;3.229;2.936;0.637
BTC000000000;03/09/24;2.536;2.178;3.240;-0.759;-7.025;2.518
BTC000000000;02/09/24;-2.999;-0.692;-0.428;2.752;1.046;-0.678
BTC000000000;01/09/24;2.860;-0.527;-0.051;-3.021;-10.885;0.026
BTC000000000;31/08/24;0.242;0.584;2.673;2.834;2.917;1.466
BTC000000000;30/08/24;0.304;0.640;-1.456;0.326;4.145;-0.040
BTC000000000;29/08/24;-0.368;2.249;1.515;0.323;3.115;1.001
BTC000000000;28/08/24;0.411;-1.546;-1.511;-0.530;13.492;-0.679
BTC000000000;27/08/24;5.915;5.033;1.089;0.793;-12.833;4.870
BTC000000000;26/08/24;2.417;1.874;7.346;5.652;-7.261;2.419
BTC000000000;25/08/24;-0.252;0.719;1.474;2.248;-6.506;0.685
BTC000000000;24/08/24;-0.147;-0.648;-0.262;-0.266;33.040;-0.071
BTC000000000;23/08/24;-5.771;0.674;-5.083;-0.200;-12.870;-3.600
BTC000000000;22/08/24;1.284;-5.354;-0.727;-5.617;0.223;-1.761
BTC000000000;21/08/24;-3.356;0.707;-1.745;1.199;-0.427;-1.377
BTC000000000;20/08/24;0.564;-0.804;-0.342;-3.361;-5.332;0.425
BTC000000000;19/08/24;-1.897;-2.859;-1.323;0.858;-10.076;-2.398
BTC000000000;18/08/24;1.987;1.091;1.031;-1.741;-13.440;1.731
BTC000000000;17/08/24;-0.969;-0.901;0.563;1.528;9.279;-0.651
BTC000000000;16/08/24;-2.343;0.229;-2.867;-0.872;20.712;-1.413
BTC000000000;15/08/24;2.101;0.004;-0.892;-2.211;-2.663;-0.089
BTC000000000;14/08/24;2.945;2.761;3.387;1.963;-3.202;2.992
BTC000000000;13/08/24;-1.662;0.077;-0.087;3.123;3.442;-0.710
BTC000000000;12/08/24;-1.097;-1.687;-1.042;-2.019;-3.462;-1.201
BTC000000000;11/08/24;3.663;1.795;0.902;-0.880;-20.689;2.423
BTC000000000;10/08/24;-0.411;-0.611;3.119;3.495;19.850;0.501
BTC000000000;09/08/24;1.540;0.758;-0.933;-0.045;25.460;-0.031
BTC000000000;08/08/24;-10.438;1.297;-8.298;1.626;-3.600;-4.155
BTC000000000;07/08/24;1.311;-7.662;-0.139;-11.019;0.400;-3.201
BTC000000000;06/08/24;-3.179;-1.229;-0.944;1.741;55.847;-0.831
BTC000000000;05/08/24;7.623;2.340;-8.713;-3.530;17.841;-4.370
BTC000000000;04/08/24;4.186;4.797;16.074;7.534;-56.199;12.301
BTC000000000;03/08/24;1.368;1.827;4.492;4.624;37.188;2.202
BTC000000000;02/08/24;6.366;5.358;2.366;1.197;-0.651;4.117
BTC000000000;01/08/24;-1.191;0.015;1.594;6.380;-8.496;0.462
BTC000000000;31/07/24;2.173;1.898;3.544;-1.137;-9.654;2.763
BTC000000000;30/07/24;0.980;0.312;1.448;2.440;9.124;0.594
BTC000000000;29/07/24;2.167;4.419;1.821;0.854;-11.285;3.338
BTC000000000;28/07/24;-0.719;-2.398;0.564;2.133;14.265;-1.147
BTC000000000;27/07/24;0.245;1.634;-0.403;-0.277;-11.608;0.657
BTC000000000;26/07/24;-3.003;-1.709;-1.455;-0.194;10.440;-1.457
BTC000000000;25/07/24;-0.568;-3.164;-3.523;-3.186;-1.768;-3.964
BTC000000000;24/07/24;0.819;1.532;2.741;-0.514;-3.535;2.285
BTC000000000;23/07/24;2.346;0.954;0.427;0.768;7.461;0.782
BTC000000000;22/07/24;0.948;1.084;1.662;2.539;-2.591;1.453
BTC000000000;21/07/24;-1.578;-0.208;-0.869;0.716;-20.056;-0.573
BTC000000000;20/07/24;-0.600;-1.098;0.340;-1.307;16.590;-0.602
BTC000000000;19/07/24;-4.182;-0.279;-4.455;-0.795;-2.787;-2.573
BTC000000000;18/07/24;0.391;-3.354;-0.092;-4.024;-1.635;-1.128
BTC000000000;17/07/24;1.428;1.434;1.104;0.241;13.517;1.078
BTC000000000;16/07/24;-0.320;-1.148;-2.223;1.557;2.687;-1.310
BTC000000000;15/07/24;-6.154;-0.683;-2.958;-0.460;-14.069;-1.971
BTC000000000;14/07/24;-2.559;-5.383;-2.247;-5.976;-15.058;-4.593
BTC000000000;13/07/24;-2.461;-2.677;-2.600;-2.907;-1.710;-2.694
BTC000000000;12/07/24;-0.967;-1.957;-2.018;-2.153;11.729;-1.595
BTC000000000;11/07/24;0.558;1.304;1.000;-0.895;-2.120;0.731
BTC000000000;10/07/24;0.529;0.059;0.033;0.588;0.449;0.367
BTC000000000;09/07/24;-2.205;-2.006;-1.370;0.479;9.309;-1.163
BTC000000000;08/07/24;-1.393;-0.375;-3.543;-2.266;-0.785;-2.092
BTC000000000;07/07/24;4.247;0.802;2.586;-1.417;-20.057;1.999
BTC000000000;06/07/24;-2.750;0.041;0.417;4.214;23.104;-0.533
BTC000000000;05/07/24;0.733;-1.649;-4.085;-2.647;25.018;-2.275
BTC000000000;04/07/24;5.548;5.277;5.670;0.795;-16.901;4.624
BTC000000000;03/07/24;3.188;3.010;4.773;5.517;-13.835;3.975
BTC000000000;02/07/24;1.252;1.537;3.856;3.040;-4.368;3.136
BTC000000000;01/07/24;-0.213;0.951;1.264;1.226;2.502;0.971
BTC000000000;30/06/24;-2.844;-1.338;-3.094;-0.064;-15.548;-2.547
BTC000000000;29/06/24;-0.916;-2.826;-0.387;-3.000;12.224;-0.977
BTC000000000;28/06/24;1.968;1.618;-0.573;-0.880;5.708;0.454
BTC000000000;27/06/24;-1.238;0.222;0.976;2.016;41.101;0.188
